ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
56550,Zbigniew Tadeusz Kaczmarek,M,26,164,67,Poland,POL,1972 Summer,1972,Summer,Munich,Weightlifting,Weightlifting Men's Lightweight,Bronze
56550,Zbigniew Tadeusz Kaczmarek,M,29,164,67,Poland,POL,1976 Summer,1976,Summer,Montreal,Weightlifting,Weightlifting Men's Lightweight,NA
56550,Zbigniew Tadeusz Kaczmarek,M,33,164,67,Poland,POL,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Lightweight,NA
56563,Joseph Kaddu Kutfesa,M,18,157,60,Uganda,UGA,1988 Summer,1988,Summer,Seoul,Weightlifting,Weightlifting Men's Lightweight,NA
56576,Nazar Kadir,M,26,NA,95,Iraq,IRQ,1992 Summer,1992,Summer,Barcelona,Weightlifting,Weightlifting Men's Heavyweight I,NA
56600,Imade Kadro,M,21,NA,51,Syria,SYR,1980 Summer,1980,Summer,Moskva,Weightlifting,Weightlifting Men's Flyweight,NA
56603,Glnabat Kadyrowa,F,22,165,69,Turkmenistan,TKM,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Women's Light-Heavyweight,NA
56654,Pertti Uolevi Kahelin,M,34,158,64,Finland,FIN,1984 Summer,1984,Summer,Los Angeles,Weightlifting,Weightlifting Men's Featherweight,NA
56689,Jaakko Rafael Kailajrvi,M,23,171,83.5,Finland,FIN,1964 Summer,1964,Summer,Tokyo,Weightlifting,Weightlifting Men's Light-Heavyweight,NA
23931,"John George Crosby, Jr.",M,21,172,61,United States,USA,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Men's Team All-Around,NA
23931,"John George Crosby, Jr.",M,21,172,61,United States,USA,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Men's Floor Exercise,NA
23931,"John George Crosby, Jr.",M,21,172,61,United States,USA,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Men's Horse Vault,NA
23931,"John George Crosby, Jr.",M,21,172,61,United States,USA,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Men's Parallel Bars,NA
23931,"John George Crosby, Jr.",M,21,172,61,United States,USA,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Men's Horizontal Bar,NA
23931,"John George Crosby, Jr.",M,21,172,61,United States,USA,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Men's Rings,NA
23931,"John George Crosby, Jr.",M,21,172,61,United States,USA,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Men's Pommelled Horse,NA
23947,Sidney Cross,M,21,NA,NA,Great Britain,GBR,1912 Summer,1912,Summer,Stockholm,Gymnastics,Gymnastics Men's Team All-Around,Bronze
23947,Sidney Cross,M,29,NA,NA,Great Britain,GBR,1920 Summer,1920,Summer,Antwerpen,Gymnastics,Gymnastics Men's Team All-Around,NA
23983,Joseph Crovetto,M,30,NA,NA,Monaco,MON,1920 Summer,1920,Summer,Antwerpen,Gymnastics,Gymnastics Men's Individual All-Around,NA
23984,Kvin Crovetto,M,24,183,81,Monaco,MON,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Individual All-Around,NA
23984,Kvin Crovetto,M,24,183,81,Monaco,MON,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,NA
23984,Kvin Crovetto,M,24,183,81,Monaco,MON,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Parallel Bars,NA
23984,Kvin Crovetto,M,24,183,81,Monaco,MON,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horizontal Bar,NA
23984,Kvin Crovetto,M,24,183,81,Monaco,MON,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,NA
23984,Kvin Crovetto,M,24,183,81,Monaco,MON,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Pommelled Horse,NA
23991,Brenda Olive Crowe (-Halligan),F,23,NA,NA,Great Britain,GBR,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Women's Team All-Around,NA
95437,Nikola Plea,M,24,187,86,Yugoslavia,YUG,1972 Summer,1972,Summer,Munich,Basketball,Basketball Men's Basketball,NA
95507,Katherine Plouffe,F,23,190,89,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,NA
95508,Michelle Plouffe,F,19,190,82,Canada,CAN,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,NA
95508,Michelle Plouffe,F,23,190,82,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,NA
95510,Andrzej Pluciski,M,21,NA,NA,Poland,POL,1936 Summer,1936,Summer,Berlin,Basketball,Basketball Men's Basketball,NA
95540,Yaqueln Plutn Tizn,F,21,185,80,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,NA
95561,Zagorka Poekovi,F,19,191,78,Yugoslavia,YUG,1984 Summer,1984,Summer,Los Angeles,Basketball,Basketball Women's Basketball,NA
95570,"Martynas ""Marty"" Pocius",M,26,196,86,Lithuania,LTU,2012 Summer,2012,Summer,London,Basketball,Basketball Men's Basketball,NA
95614,Olga Viktorovna Podobed,F,29,174,63,Belarus,BLR,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,NA
95751,Peter Alfred Charles Pokai,M,35,198,130,New Zealand,NZL,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,NA
95783,Katarna Polkov,F,20,178,64,Slovakia,SVK,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,NA
95807,Ignacio Francisco Jos Poletti Signorelli,M,22,NA,NA,Argentina,ARG,1952 Summer,1952,Summer,Helsinki,Basketball,Basketball Men's Basketball,NA
95833,Gyrgy Plik,M,20,191,72,Hungary,HUN,1960 Summer,1960,Summer,Roma,Basketball,Basketball Men's Basketball,NA
95833,Gyrgy Plik,M,25,191,72,Hungary,HUN,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,NA
95880,Yvetta Pollkov (-Paulovichov),F,23,183,75,Czechoslovakia,TCH,1976 Summer,1976,Summer,Montreal,Basketball,Basketball Women's Basketball,NA
95893,Jean Pollet,M,24,NA,NA,Switzerland,SUI,1936 Summer,1936,Summer,Berlin,Basketball,Basketball Men's Basketball,NA
95893,Jean Pollet,M,36,NA,NA,Switzerland,SUI,1948 Summer,1948,Summer,London,Basketball,Basketball Men's Basketball,NA
95895,"Joachim ""Jochen"" Pollex",M,25,186,84,West Germany,FRG,1972 Summer,1972,Summer,Munich,Basketball,Basketball Men's Basketball,NA
95900,Catarina Pollini,F,26,195,75,Italy,ITA,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Women's Basketball,NA
95900,Catarina Pollini,F,30,195,75,Italy,ITA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,NA
95927,Lynn Polson (-Hamilton),F,22,173,63,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Basketball,Basketball Women's Basketball,NA
95971,Anatoliy Ivanovych Polyvoda,M,21,200,105,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Basketball,Basketball Men's Basketball,Bronze
95971,Anatoliy Ivanovych Polyvoda,M,25,200,105,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Basketball,Basketball Men's Basketball,Gold
96018,Cappie Marie Pondexter,F,25,175,73,United States,USA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,Gold
96033,Anton Aleksandrovich Ponkrashov,M,26,200,100,Russia,RUS,2012 Summer,2012,Summer,London,Basketball,Basketball Men's Basketball,Bronze
96048,Ingrid Pons Molina,F,29,185,76,Spain,ESP,2004 Summer,2004,Summer,Athina,Basketball,Basketball Women's Basketball,NA
96066,Simone Pontello,F,20,185,NA,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Women's Basketball,NA
96079,"Ricardo Antonio ""Rico"" Pontvianne Jimnez",M,20,189,83,Mexico,MEX,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,NA
96079,"Ricardo Antonio ""Rico"" Pontvianne Jimnez",M,24,189,83,Mexico,MEX,1968 Summer,1968,Summer,Mexico City,Basketball,Basketball Men's Basketball,NA
96149,Vasile Popescu,M,27,NA,NA,Romania,ROU,1952 Summer,1952,Summer,Helsinki,Basketball,Basketball Men's Basketball,NA
96196,Mariya Vladimirovna Popova,F,22,189,84,Belarus,BLR,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,NA
96207,Marko Popovi,M,26,185,84,Croatia,CRO,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,NA
96210,Petar Popovi,M,25,213,106,Serbia and Montenegro,SCG,2004 Summer,2004,Summer,Athina,Basketball,Basketball Men's Basketball,NA
96235,Gustave Poppe,M,23,NA,NA,Belgium,BEL,1948 Summer,1948,Summer,London,Basketball,Basketball Men's Basketball,NA
96272,Adolfo Porrata Doria,M,20,184,86,Puerto Rico,PUR,1968 Summer,1968,Summer,Mexico City,Basketball,Basketball Men's Basketball,NA
96282,Antonio Alejandro Porta Pernigotti,M,24,190,91,Argentina,ARG,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,Bronze
96317,Natalie Porter,F,23,185,91,Australia,AUS,2004 Summer,2004,Summer,Athina,Basketball,Basketball Women's Basketball,Silver
96383,Ji Pospil,M,21,200,89,Czechoslovakia,TCH,1972 Summer,1972,Summer,Munich,Basketball,Basketball Men's Basketball,NA
96383,Ji Pospil,M,25,200,89,Czechoslovakia,TCH,1976 Summer,1976,Summer,Montreal,Basketball,Basketball Men's Basketball,NA
96383,Ji Pospil,M,29,200,89,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Basketball,Basketball Men's Basketball,NA
96469,Alicia Poto,F,26,166,64,Australia,AUS,2004 Summer,2004,Summer,Athina,Basketball,Basketball Women's Basketball,Silver
96661,Washington Augusto Poyet Carreras,M,21,189,83,Uruguay,URU,1960 Summer,1960,Summer,Roma,Basketball,Basketball Men's Basketball,NA
96661,Washington Augusto Poyet Carreras,M,25,189,83,Uruguay,URU,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,NA
96662,Lauri Tapio Pyhnen,M,24,175,68,Finland,FIN,1952 Summer,1952,Summer,Helsinki,Basketball,Basketball Men's Basketball,NA
96683,Gianmarco Pozzecco,M,31,180,74,Italy,ITA,2004 Summer,2004,Summer,Athina,Basketball,Basketball Men's Basketball,Silver
96723,Roger Prahin,M,28,NA,NA,Switzerland,SUI,1952 Summer,1952,Summer,Helsinki,Basketball,Basketball Men's Basketball,NA
96815,"Beata Dorota Predehl (Wrbel-, Binkowska-)",F,29,170,65,Poland,POL,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,NA
96837,Marius Prekeviius,M,24,195,92,Lithuania,LTU,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,NA
96845,Egidio Premiani,M,27,NA,NA,Italy,ITA,1936 Summer,1936,Summer,Berlin,Basketball,Basketball Men's Basketball,NA
96846,Roberto Premier,M,26,196,98,Italy,ITA,1984 Summer,1984,Summer,Los Angeles,Basketball,Basketball Men's Basketball,NA
96870,Fabio Presca,M,21,NA,NA,Italy,ITA,1952 Summer,1952,Summer,Helsinki,Basketball,Basketball Men's Basketball,NA
96945,Lionel Price,M,21,NA,NA,Great Britain,GBR,1948 Summer,1948,Summer,London,Basketball,Basketball Men's Basketball,NA
96979,Jzsef Prieszol,M,21,193,88,Hungary,HUN,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,NA
96993,Pablo Prigioni,M,31,191,81,Argentina,ARG,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,Bronze
96993,Pablo Prigioni,M,35,191,81,Argentina,ARG,2012 Summer,2012,Summer,London,Basketball,Basketball Men's Basketball,NA
97014,Giancarlo Primo,M,23,NA,NA,Italy,ITA,1948 Summer,1948,Summer,London,Basketball,Basketball Men's Basketball,NA
97027,Tayshaun Durell Prince,M,28,206,93,United States,USA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,Gold
97041,Georgios Printezis,M,23,206,96,Greece,GRE,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,NA
97081,Nikola Prkain,M,32,208,111,Croatia,CRO,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,NA
